Date,NRKDischargeMax,NRKDischargeMin,NRKDischargeMean,NRKGageHeightMax,NRKGageHeightMin,NRKGageHeightMean
05/25/2011,911,911,829,4.23,4.04,4.12
05/26/2011,829,829,804,4.04,3.98,4
05/27/2011,808,808,750,3.99,3.85,3.94
05/28/2011,750,750,684,3.85,3.69,3.75
05/29/2011,808,808,684,3.99,3.69,3.81
05/30/2011,915,915,737,4.24,3.82,3.93
05/31/2011,"1,400","1,400",915,5.3,4.24,4.9
06/01/2011,"1,410","1,410","1,260",5.33,5,5.23
06/02/2011,"1,260","1,260",968,5,4.36,4.66
06/03/2011,968,968,855,4.36,4.1,4.21
06/04/2011,855,855,775,4.1,3.91,4
06/05/2011,775,775,692,3.91,3.71,3.81
06/06/2011,692,692,628,3.71,3.55,3.63
06/07/2011,628,628,600,3.55,3.48,3.51
06/08/2011,600,600,593,3.48,3.46,3.47
06/09/2011,600,600,577,3.48,3.42,3.44
06/10/2011,577,577,531,3.42,3.3,3.36
06/11/2011,534,534,470,3.31,3.14,3.24
06/12/2011,620,620,444,3.53,3.07,3.13
06/13/2011,604,604,433,3.49,3.04,3.13
06/14/2011,550,550,437,3.35,3.05,3.15
06/15/2011,632,632,550,3.56,3.35,3.5
06/16/2011,628,628,546,3.55,3.34,3.46
06/17/2011,557,557,504,3.37,3.23,3.28
06/18/2011,573,573,504,3.41,3.23,3.35
06/19/2011,504,504,419,3.23,3,3.1
06/20/2011,,,414,,,
06/21/2011,,,402,,,
06/22/2011,422,422,383,3.01,2.9,2.93
06/23/2011,415,415,408,2.99,2.97,2.97
06/24/2011,412,412,404,2.98,2.96,2.97
06/25/2011,404,404,383,2.96,2.9,2.94
06/26/2011,383,383,376,2.9,2.88,2.89
06/27/2011,444,444,376,3.07,2.88,2.94
06/28/2011,441,441,412,3.06,2.98,3.01
06/29/2011,433,433,412,3.04,2.98,3.01
06/30/2011,412,412,383,2.98,2.9,2.93
07/01/2011,489,489,386,3.19,2.91,3.09
07/02/2011,489,489,415,3.19,2.99,3.08
07/03/2011,426,426,415,3.02,2.99,3.01
07/04/2011,422,422,386,3.01,2.91,2.98
07/05/2011,386,386,351,2.91,2.81,2.85
07/06/2011,372,372,351,2.87,2.81,2.84
07/07/2011,408,408,341,2.97,2.78,2.82
07/08/2011,804,804,408,3.98,2.97,3.35
07/09/2011,,,"1,210",5.15,3.98,4.75
07/10/2011,"1,340","1,340","1,090",5.17,4.63,4.98
07/11/2011,"1,090","1,090",851,4.63,4.09,4.31
07/12/2011,851,851,721,4.09,3.78,3.94
07/13/2011,721,721,600,3.78,3.48,3.63
07/14/2011,652,652,481,3.61,3.17,3.34
07/15/2011,481,481,415,3.17,2.99,3.08
07/16/2011,415,415,372,2.99,2.87,2.93
07/17/2011,372,372,351,2.87,2.81,2.83
07/18/2011,362,362,355,2.84,2.82,2.83
07/19/2011,355,355,327,2.82,2.74,2.78
07/20/2011,327,327,307,2.74,2.68,2.71
07/21/2011,307,307,297,2.68,2.65,2.66
07/22/2011,331,331,300,2.75,2.66,2.73
07/23/2011,334,334,320,2.76,2.72,2.73
07/24/2011,341,341,334,2.78,2.76,2.77
07/25/2011,334,334,320,2.76,2.72,2.73
07/26/2011,412,412,313,2.98,2.7,2.76
07/27/2011,344,344,320,2.79,2.72,2.76
07/28/2011,358,358,344,2.83,2.79,2.8
07/29/2011,419,419,358,3,2.83,2.9
07/30/2011,426,426,376,3.02,2.88,2.97
07/31/2011,,,331,,,
08/01/2011,,,303,,,
08/02/2011,337,337,307,2.77,2.68,2.74
08/03/2011,,,502,3.97,2.77,3.15
08/04/2011,972,972,800,4.37,3.97,4.28
08/05/2011,915,915,668,4.24,3.65,3.94
08/06/2011,808,808,569,3.99,3.4,3.63
08/07/2011,628,628,470,3.55,3.14,3.26
08/08/2011,589,589,448,3.45,3.08,3.14
08/09/2011,,,"1,560",6.59,3.45,5.24
08/10/2011,"2,300","2,300","2,040",7.07,6.59,6.94
08/11/2011,,,"1,700",6.85,5.35,6.12
08/12/2011,"1,420","1,420",976,5.35,4.38,4.81
08/13/2011,976,976,787,4.38,3.94,4.13
08/14/2011,787,787,684,3.94,3.69,3.79
08/15/2011,684,684,608,3.69,3.5,3.59
08/16/2011,,,"1,050",4.77,3.65,4.43
08/17/2011,"1,140","1,140",898,4.74,4.2,4.44
08/18/2011,933,933,894,4.28,4.19,4.24
08/19/2011,928,928,791,4.27,3.95,4.12
08/20/2011,800,800,624,3.97,3.54,3.74
08/21/2011,624,624,554,3.54,3.36,3.42
08/22/2011,554,554,527,3.36,3.29,3.31
08/23/2011,577,577,546,3.42,3.34,3.4
08/24/2011,569,569,557,3.4,3.37,3.38
08/25/2011,796,796,561,3.96,3.38,3.68
08/26/2011,800,800,746,3.97,3.84,3.91
08/27/2011,,,"2,720",9.42,3.91,6.89
08/28/2011,,,"4,260",10.64,9.42,10.14
08/29/2011,"4,530","4,530","4,370",10.89,10.64,10.83
08/30/2011,"4,560","4,560","4,310",10.95,10.54,10.79
08/31/2011,"4,310","4,310","3,770",10.54,9.65,10.15
09/01/2011,,,"3,210",9.65,8.41,8.99
09/02/2011,"3,040","3,040","2,530",8.41,7.49,7.98
09/03/2011,,,"2,030",7.49,6.09,6.8
09/04/2011,"1,790","1,790","1,300",6.09,5.09,5.54
09/05/2011,"1,300","1,300","1,090",5.09,4.64,4.84
09/06/2011,"1,090","1,090",998,4.64,4.43,4.5
09/07/2011,"1,140","1,140","1,010",4.75,4.46,4.55
09/08/2011,"1,140","1,140","1,070",4.75,4.6,4.69
09/09/2011,"1,330","1,330","1,050",5.16,4.55,4.69
09/10/2011,"1,620","1,620","1,330",5.76,5.16,5.61
09/11/2011,"1,600","1,600","1,290",5.71,5.06,5.42
09/12/2011,"1,290","1,290","1,050",5.06,4.54,4.77
09/13/2011,"1,050","1,050",889,4.54,4.18,4.34
09/14/2011,889,889,783,4.18,3.93,4.04
09/15/2011,783,783,684,3.93,3.69,3.79
09/16/2011,684,684,612,3.69,3.51,3.58
09/17/2011,612,612,573,3.51,3.41,3.45
09/18/2011,577,577,569,3.42,3.4,3.4
09/19/2011,876,876,577,4.15,3.42,3.76
09/20/2011,906,906,851,4.22,4.09,4.18
09/21/2011,851,851,762,4.09,3.88,3.98
09/22/2011,762,762,684,3.88,3.69,3.78
09/23/2011,688,688,656,3.7,3.62,3.66
09/24/2011,,,827,4.84,3.68,3.94
09/25/2011,,,"1,850",6.48,4.84,5.96
09/26/2011,"1,990","1,990","1,970",6.49,6.45,6.48
09/27/2011,"1,970","1,970","1,770",6.45,6.05,6.3
09/28/2011,"1,770","1,770","1,530",6.05,5.57,5.75
09/29/2011,"1,530","1,530","1,320",5.57,5.13,5.37
09/30/2011,"1,320","1,320","1,120",5.13,4.71,4.91
10/01/2011,"1,240","1,240","1,140",4.96,4.75,4.82
10/02/2011,"1,260","1,260","1,160",5,4.8,4.94
10/03/2011,"1,160","1,160",985,4.8,4.4,4.58
10/04/2011,985,985,898,4.4,4.2,4.29
10/05/2011,898,898,796,4.2,3.96,4.09
10/06/2011,796,796,705,3.96,3.74,3.84
10/07/2011,705,705,608,3.74,3.5,3.61
10/08/2011,608,608,557,3.5,3.37,3.43
10/09/2011,557,557,519,3.37,3.27,3.32
10/10/2011,519,519,496,3.27,3.21,3.24
10/11/2011,496,496,485,3.21,3.18,3.19
10/12/2011,523,523,485,3.28,3.18,3.23
10/13/2011,557,557,523,3.37,3.28,3.32
10/14/2011,565,565,557,3.39,3.37,3.37
10/15/2011,573,573,554,3.41,3.36,3.39
10/16/2011,554,554,500,3.36,3.22,3.28
10/17/2011,500,500,474,3.22,3.15,3.18
10/18/2011,474,474,459,3.15,3.11,3.13
10/19/2011,511,511,470,3.25,3.14,3.19
10/20/2011,531,531,496,3.3,3.21,3.26
10/21/2011,569,569,531,3.4,3.3,3.33
10/22/2011,985,985,569,4.4,3.4,3.87
10/23/2011,"1,050","1,050",985,4.55,4.4,4.52
10/24/2011,"1,020","1,020",894,4.49,4.19,4.34
10/25/2011,894,894,766,4.19,3.89,4.05
10/26/2011,766,766,660,3.89,3.63,3.76
10/27/2011,660,660,589,3.63,3.45,3.54
10/28/2011,589,589,527,3.45,3.29,3.36
10/29/2011,527,527,511,3.29,3.25,3.26
10/30/2011,511,511,485,3.25,3.18,3.2
10/31/2011,508,508,474,3.24,3.15,3.17
11/01/2011,608,608,496,3.5,3.21,3.27
11/02/2011,821,821,608,4.02,3.5,3.85
11/03/2011,825,825,813,4.03,4,4.01
11/04/2011,"1,090","1,090",825,4.64,4.03,4.31
11/05/2011,"1,260","1,260","1,090",5,4.64,4.82
11/06/2011,"1,590","1,590","1,260",5.69,5,5.19
11/07/2011,"2,320","2,320","1,590",7.11,5.69,6.56
11/08/2011,"2,340","2,340","2,080",7.15,6.65,7
11/09/2011,"2,080","2,080","1,590",6.65,5.71,6.16
11/10/2011,"1,590","1,590","1,300",5.71,5.12,5.39
11/11/2011,"1,300","1,300","1,090",5.12,4.67,4.88
11/12/2011,"1,090","1,090",915,4.67,4.29,4.47
11/13/2011,915,915,800,4.29,4.03,4.16
11/14/2011,800,800,729,4.03,3.87,3.95
11/15/2011,729,729,668,3.87,3.73,3.8
11/16/2011,668,668,636,3.73,3.66,3.69
11/17/2011,636,636,608,3.66,3.6,3.62
11/18/2011,616,616,608,3.62,3.6,3.61
11/19/2011,628,628,616,3.65,3.62,3.64
11/20/2011,632,632,624,3.66,3.64,3.65
11/21/2011,664,664,632,3.74,3.66,3.7
11/22/2011,672,672,664,3.76,3.74,3.75
11/23/2011,680,680,660,3.78,3.73,3.76
11/24/2011,817,817,660,4.11,3.73,3.85
11/25/2011,963,963,817,4.45,4.11,4.35
11/26/2011,959,959,924,4.44,4.36,4.38
11/27/2011,924,924,902,4.36,4.31,4.35
11/28/2011,902,902,829,4.31,4.14,4.23
11/29/2011,851,851,821,4.19,4.12,4.16
11/30/2011,"1,000","1,000",838,4.54,4.16,4.33
12/01/2011,"1,200","1,200","1,000",4.97,4.54,4.69
