"STATION","DATE","AWND","PRCP"
"US1NCCR0153","2020-11-12",,"0.09"
"US1NCCR0153","2020-11-13",,"2.04"
"US1NCCR0153","2020-11-14",,"0.00"
"US1NCCR0153","2020-11-15",,"0.00"
"US1NCCR0153","2020-11-16",,"0.00"
"US1NCCR0153","2020-11-17",,"0.00"
"US1NCCR0153","2020-11-18",,"0.00"
"US1NCCR0153","2020-11-19",,"0.00"
"US1NCCR0153","2020-11-20",,"0.00"
"US1NCCR0153","2020-11-21",,"0.00"
"US1NCCR0153","2020-11-22",,"0.00"
"US1NCCR0153","2020-11-23",,"0.51"
"US1NCCR0153","2020-11-24",,"0.00"
"US1NCCR0153","2020-11-25",,"0.00"
"US1NCCR0153","2020-11-26",,"0.09"
"US1NCCR0153","2020-11-27",,"0.81"
"US1NCCR0153","2020-11-28",,"0.02"
"US1NCCR0153","2020-11-29",,"0.00"
"US1NCCR0153","2020-11-30",,"2.66"
"US1NCCR0153","2020-12-01",,"0.89"
"US1NCCR0153","2020-12-02",,"0.00"
"US1NCCR0153","2020-12-05",,"0.38"
"US1NCCR0153","2020-12-07",,"0.16"
"US1NCCR0153","2020-12-08",,"0.12"
"US1NCCR0153","2020-12-12",,"0.11"
"US1NCCR0153","2020-12-13",,"0.20"
"US1NCCR0153","2020-12-14",,"0.03"
"US1NCCR0153","2020-12-15",,"0.15"
"US1NCCR0153","2020-12-16",,"0.03"
"US1NCCR0153","2020-12-17",,"0.57"
"US1NCCR0153","2020-12-21",,"1.26"
"US1NCCR0153","2020-12-22",,"0.00"
"US1NCCR0153","2020-12-25",,"1.26"
"US1NCCR0033","2012-01-10",,"0.34"
"US1NCCR0033","2012-02-02",,"0.07"
"US1NCCR0033","2012-02-05",,"0.30"
"US1NCCR0033","2012-02-20",,"0.65"
"US1NCCR0033","2012-02-23",,"0.03"
"US1NCCR0033","2012-02-25",,"0.21"
"US1NCCR0033","2012-02-26",,"0.00"
"US1NCCR0033","2012-03-04",,"1.44"
"US1NCCR0033","2012-03-05",,"0.25"
"US1NCCR0033","2012-03-25",,"1.06"
"US1NCCR0033","2012-03-26",,"0.09"
"US1NCCR0033","2012-04-06",,"1.44"
"US1NCCR0033","2012-04-07",,"0.36"
"US1NCCR0033","2012-04-19",,"0.17"
"US1NCCR0033","2012-04-22",,"0.51"
"US1NCCR0033","2012-04-23",,"0.47"
"US1NCCR0033","2012-04-28",,"0.99"
"US1NCCR0033","2012-05-06",,"1.46"
"US1NCCR0033","2012-06-13",,"0.51"
"US1NCCR0033","2012-06-24",,"3.11"
"US1NCCR0033","2012-07-02",,"1.10"
"US1NCCR0033","2012-07-21",,"1.89"
"US1NCCR0033","2012-07-29",,"0.60"
"US1NCCR0033","2012-07-31",,"1.51"
"US1NCCR0033","2012-08-01",,"0.20"
"US1NCCR0033","2012-08-02",,"0.33"
"US1NCCR0033","2012-08-07",,"0.75"
"US1NCCR0033","2012-08-08",,"0.37"
"US1NCCR0033","2012-08-10",,"0.78"
"US1NCCR0033","2012-08-11",,"0.69"
"US1NCCR0033","2012-08-12",,"0.78"
"US1NCCR0033","2012-08-15",,"0.30"
"US1NCCR0033","2012-08-16",,"0.95"
"US1NCCR0033","2012-08-19",,"0.27"
"US1NCCR0033","2012-08-20",,"0.28"
"US1NCCR0033","2012-08-21",,"0.39"
"US1NCCR0033","2012-08-24",,"0.57"
"US1NCCR0033","2012-08-25",,"2.51"
"US1NCCR0033","2012-09-03",,"0.83"
"US1NCCR0033","2012-09-07",,"1.90"
"US1NCCR0033","2012-09-08",,"0.72"
"US1NCCR0033","2012-10-09",,"0.28"
"US1NCCR0033","2012-10-10",,"0.02"
"US1NCCR0033","2012-10-13",,"0.00"
"US1NCCR0033","2012-10-30",,
"US1NCCR0033","2012-11-05",,"0.25"
"US1NCCR0033","2012-12-12",,"0.22"
"US1NCCR0033","2012-12-13",,"1.08"
"US1NCCR0033","2012-12-16",,"0.10"
"US1NCCR0033","2012-12-17",,"0.23"
"US1NCCR0033","2012-12-18",,"0.31"
"US1NCCR0033","2012-12-21",,"0.32"
"US1NCCR0033","2012-12-29",,"0.98"
"US1NCCR0033","2012-12-30",,"0.30"
"US1NCCR0033","2013-01-02",,"0.36"
"US1NCCR0033","2013-01-04",,"0.05"
"US1NCCR0033","2013-01-12",,"0.33"
"US1NCCR0033","2013-02-11",,"0.01"
"US1NCCR0033","2013-02-12",,"0.20"
"US1NCCR0033","2013-02-13",,"0.38"
"US1NCCR0033","2013-02-14",,"0.12"
"US1NCCR0033","2013-02-17",,"0.20"
"US1NCCR0033","2013-02-20",,"0.20"
"US1NCCR0033","2013-02-23",,"0.49"
"US1NCCR0033","2013-02-27",,"0.88"
"US1NCCR0033","2013-03-19",,"0.53"
"US1NCCR0033","2013-03-25",,"0.40"
"US1NCCR0033","2013-04-01",,"0.05"
"US1NCCR0033","2013-04-12",,"0.00"
"US1NCCR0033","2013-04-13",,"1.45"
"US1NCCR0033","2013-04-29",,"0.06"
"US1NCCR0033","2013-04-30",,"0.53"
"US1NCCR0033","2013-05-05",,"0.12"
"US1NCCR0033","2013-05-06",,"0.15"
"US1NCCR0033","2013-05-07",,"0.77"
"US1NCCR0033","2013-06-04",,"0.46"
"US1NCCR0033","2013-06-07",,"0.97"
"US1NCCR0033","2013-06-14",,"0.77"
"US1NCCR0033","2013-06-19",,"0.54"
"US1NCCR0033","2013-06-27",,
"US1NCCR0033","2013-06-28",,"0.12"
"US1NCCR0033","2013-06-29",,"0.04"
"US1NCCR0033","2013-06-30",,"0.30"
"US1NCCR0033","2013-07-01",,"0.44"
"US1NCCR0033","2013-07-02",,"0.88"
"US1NCCR0033","2013-07-12",,"0.16"
"US1NCCR0033","2013-07-13",,"1.81"
"US1NCCR0033","2013-08-21",,"0.85"
"US1NCCR0033","2013-09-02",,"3.62"
"US1NCCR0033","2013-09-06",,"2.23"
"US1NCCR0033","2013-09-17",,"1.17"
"US1NCCR0033","2013-09-22",,"0.70"
"US1NCCR0033","2013-09-23",,"0.10"
"US1NCCR0033","2013-10-07",,"0.18"
"US1NCCR0033","2013-10-08",,"2.46"
"US1NCCR0033","2013-10-09",,"2.48"
"US1NCCR0033","2013-10-16",,
"US1NCCR0033","2013-10-19",,"0.55"
"US1NCCR0033","2013-11-01",,"0.04"
"US1NCCR0033","2013-11-02",,"1.03"
"US1NCCR0033","2013-11-07",,"0.36"
"US1NCCR0033","2013-11-12",,"0.48"
"US1NCCR0033","2013-11-13",,"0.02"
"US1NCCR0033","2013-11-16",,"0.36"
"US1NCCR0033","2013-11-18",,"0.08"
"US1NCCR0033","2013-11-27",,"2.38"
"US1NCCR0033","2013-12-04",,"0.04"
"US1NCCR0033","2013-12-05",,"0.31"
"US1NCCR0033","2013-12-15",,"1.36"
"US1NCCR0033","2013-12-30",,"0.21"
"US1NCCR0033","2014-01-02",,"0.12"
"US1NCCR0033","2014-01-03",,"0.59"
"US1NCCR0033","2014-01-06",,"0.06"
"US1NCCR0033","2014-01-07",,"0.05"
"US1NCCR0033","2014-01-11",,"0.29"
"US1NCCR0033","2014-01-14",,"0.15"
"US1NCCR0033","2014-01-15",,"0.79"
"US1NCCR0033","2014-03-07",,"2.14"
"US1NCCR0033","2014-03-08",,"0.30"
"US1NCCR0033","2014-03-13",,"0.09"
"US1NCCR0033","2014-03-17",,"0.64"
"US1NCCR0033","2014-03-18",,"0.50"
"US1NCCR0033","2014-03-19",,"0.29"
"US1NCCR0033","2014-03-26",,"0.58"
"US1NCCR0033","2014-03-29",,"0.12"
"US1NCCR0033","2014-03-30",,"0.43"
"US1NCCR0033","2014-04-08",,"3.30"
"US1NCCR0033","2014-04-19",,"1.22"
"US1NCCR0033","2014-04-20",,"1.68"
"US1NCCR0033","2014-05-01",,"2.75"
"US1NCCR0033","2014-06-06",,"2.17"
"US1NCCR0033","2014-06-10",,"0.59"
"US1NCCR0033","2014-06-11",,"0.00"
"US1NCCR0033","2014-06-20",,"0.78"
"US1NCCR0033","2014-06-21",,"0.21"
"US1NCCR0033","2014-06-25",,"0.57"
"US1NCCR0033","2014-06-28",,"1.73"
"US1NCCR0033","2014-06-29",,"0.40"
"US1NCCR0033","2014-07-04",,"1.27"
"US1NCCR0033","2014-07-11",,"1.85"
"US1NCCR0033","2014-07-12",,"0.20"
"US1NCCR0033","2014-07-16",,"0.11"
"US1NCCR0033","2014-07-22",,"0.40"
"US1NCCR0033","2014-07-23",,"0.36"
"US1NCCR0033","2014-07-24",,"1.10"
"US1NCCR0033","2014-07-25",,"4.42"
"US1NCCR0033","2014-07-27",,"0.60"
"US1NCCR0033","2014-07-28",,"0.00"
"US1NCCR0033","2014-07-29",,"1.12"
"US1NCCR0033","2014-07-30",,"1.35"
"US1NCCR0033","2014-08-02",,"2.38"
"US1NCCR0033","2014-08-03",,"0.99"
"US1NCCR0033","2014-08-04",,"1.88"
"US1NCCR0033","2014-08-05",,"0.44"
"US1NCCR0033","2014-08-06",,"0.79"
"US1NCCR0033","2014-08-08",,"0.66"
"US1NCCR0033","2014-08-10",,"0.05"
"US1NCCR0033","2014-08-11",,"0.03"
"US1NCCR0033","2014-08-12",,"0.05"
"US1NCCR0033","2014-08-18",,"0.05"
"US1NCCR0033","2014-08-19",,"3.72"
"US1NCCR0033","2014-08-22",,"0.02"
"US1NCCR0033","2014-08-24",,"0.28"
"US1NCCR0033","2014-09-05",,"0.28"
"US1NCCR0033","2014-09-06",,"0.17"
"US1NCCR0033","2014-09-07",,"0.10"
"US1NCCR0033","2014-09-08",,"0.66"
"US1NCCR0033","2014-09-09",,"1.44"
"US1NCCR0033","2014-09-13",,"0.85"
"US1NCCR0033","2014-09-14",,"0.04"
"US1NCCR0033","2014-09-21",,"1.05"
"US1NCCR0033","2014-09-24",,"0.43"
"US1NCCR0033","2014-09-25",,"1.23"
"US1NCCR0033","2014-09-30",,"0.08"
"US1NCCR0033","2014-10-04",,"0.43"
"US1NCCR0033","2014-10-12",,"0.06"
"US1NCCR0033","2014-10-15",,"1.09"
"US1NCCR0033","2014-10-16",,"1.67"
"US1NCCR0033","2014-10-30",,"0.08"
"US1NCCR0033","2014-11-02",,"0.32"
"US1NCCR0033","2014-12-07",,"0.55"
"US1NCCR0033","2014-12-21",,"0.10"
"US1NCCR0033","2014-12-22",,"0.28"
"US1NCCR0033","2014-12-23",,"0.11"
"US1NCCR0033","2015-01-04",,"0.35"
"US1NCCR0033","2015-01-05",,"0.29"
"US1NCCR0033","2015-01-13",,"0.73"
"US1NCCR0033","2015-01-14",,"0.26"
"US1NCCR0033","2015-01-16",,"0.02"
"US1NCCR0033","2015-01-19",,"0.86"
"US1NCCR0033","2015-01-24",,"2.12"
"US1NCCR0033","2015-01-25",,"0.37"
"US1NCCR0033","2015-01-26",,"0.01"
"US1NCCR0033","2015-01-27",,"0.03"
"US1NCCR0033","2015-01-30",,"0.00"
"US1NCCR0033","2015-02-02",,"0.43"
"US1NCCR0033","2015-02-03",,"0.43"
"US1NCCR0033","2015-02-05",,"0.76"
"US1NCCR0033","2015-02-11",,"0.23"
"US1NCCR0033","2015-02-17",,"1.19"
"US1NCCR0033","2015-02-19",,"0.01"
"US1NCCR0033","2015-02-22",,"0.42"
"US1NCCR0033","2015-02-23",,"0.67"
"US1NCCR0033","2015-02-25",,"0.52"
"US1NCCR0033","2015-02-26",,"1.12"
"US1NCCR0033","2015-03-02",,"0.29"
"US1NCCR0033","2015-03-04",,"0.26"
"US1NCCR0033","2015-03-06",,"0.30"
"US1NCCR0033","2015-03-12",,"0.04"
"US1NCCR0033","2015-03-15",,"1.05"
"US1NCCR0033","2015-03-20",,"0.90"
"US1NCCR0033","2015-03-21",,"0.22"
"US1NCCR0033","2015-03-23",,"0.26"
"US1NCCR0033","2015-03-24",,"0.02"
"US1NCCR0033","2015-03-27",,"0.14"
"US1NCCR0033","2015-03-28",,"0.36"
"US1NCCR0033","2015-03-31",,"0.02"
"US1NCCR0033","2015-04-05",,"0.07"
"US1NCCR0033","2015-04-10",,"0.35"
"US1NCCR0033","2015-04-12",,"0.01"
"US1NCCR0033","2015-04-15",,"0.03"
"US1NCCR0033","2015-04-16",,"0.08"
"US1NCCR0033","2015-04-18",,"0.00"
"US1NCCR0033","2015-04-19",,"0.13"
"US1NCCR0033","2015-04-20",,"0.97"
"US1NCCR0033","2015-04-21",,"0.00"
"US1NCCR0033","2015-04-26",,"0.03"
"US1NCCR0033","2015-04-27",,"0.02"
"US1NCCR0033","2015-04-30",,"0.09"
"US1NCCR0033","2015-05-01",,"0.03"
"US1NCCR0033","2015-05-08",,"0.34"
"US1NCCR0033","2015-05-09",,"0.34"
"US1NCCR0033","2015-05-10",,"0.98"
"US1NCCR0033","2015-05-11",,"1.07"
"US1NCCR0033","2015-05-12",,"0.07"
"US1NCCR0033","2015-05-13",,"0.49"
"US1NCCR0033","2015-05-20",,"0.19"
"US1NCCR0033","2015-06-02",,"0.08"
"US1NCCR0033","2015-06-03",,"1.22"
"US1NCCR0033","2015-06-04",,"1.40"
"US1NCCR0033","2015-06-05",,"0.10"
"US1NCCR0033","2015-06-07",,"0.54"
"US1NCCR0033","2015-06-10",,"0.26"
"US1NCCR0033","2015-06-15",,"0.02"
"US1NCCR0033","2015-06-16",,"0.04"
"US1NCCR0033","2015-06-18",,"0.55"
"US1NCCR0033","2015-06-19",,"0.15"
"US1NCCR0033","2015-06-20",,"0.18"
"US1NCCR0033","2015-06-25",,"0.43"
"US1NCCR0033","2015-06-27",,"0.09"
"US1NCCR0033","2015-06-28",,"0.06"
"US1NCCR0033","2015-07-04",,"0.07"
"US1NCCR0033","2015-07-06",,"0.08"
"US1NCCR0033","2015-07-12",,"0.34"
"US1NCCR0033","2015-07-14",,"0.69"
"US1NCCR0033","2015-07-17",,"0.06"
"US1NCCR0033","2015-07-22",,"0.48"
"US1NCCR0033","2015-07-24",,"3.63"
"US1NCCR0033","2015-08-01",,"0.06"
"US1NCCR0033","2015-08-03",,"0.52"
"US1NCCR0033","2015-08-04",,"1.10"
"US1NCCR0033","2015-08-05",,"0.07"
"US1NCCR0033","2015-08-07",,"0.15"
"US1NCCR0033","2015-08-08",,"0.64"
"US1NCCR0033","2015-08-09",,"0.02"
"US1NCCR0033","2015-08-12",,"1.17"
"US1NCCR0033","2015-08-20",,"0.12"
"US1NCCR0033","2015-08-26",,"0.18"
"US1NCCR0033","2015-08-27",,"0.04"
"US1NCCR0033","2015-08-28",,"0.09"
"US1NCCR0033","2015-09-01",,"1.17"
"US1NCCR0033","2015-09-03",,"0.10"
"US1NCCR0033","2015-09-05",,"0.00"
"US1NCCR0033","2015-09-07",,"0.04"
"US1NCCR0033","2015-09-08",,"1.08"
"US1NCCR0033","2015-09-10",,"0.11"
"US1NCCR0033","2015-09-11",,"0.04"
"US1NCCR0033","2015-09-13",,"0.10"
"US1NCCR0033","2015-09-19",,"0.22"
"US1NCCR0033","2015-09-23",,"0.12"
"US1NCCR0033","2015-09-24",,"0.20"
"US1NCCR0033","2015-09-25",,"1.60"
"US1NCCR0033","2015-09-26",,"1.27"
"US1NCCR0033","2015-09-27",,"0.97"
"US1NCCR0033","2015-09-28",,"1.80"
"US1NCCR0033","2015-09-29",,"0.61"
"US1NCCR0033","2015-09-30",,"0.08"
"US1NCCR0033","2015-10-01",,"0.05"
"US1NCCR0033","2015-10-02",,"2.14"
"US1NCCR0033","2015-10-03",,"1.82"
"US1NCCR0033","2015-10-04",,"0.58"
"US1NCCR0033","2015-10-05",,"1.65"
"US1NCCR0033","2015-10-06",,"1.08"
"US1NCCR0033","2015-10-11",,"0.66"
"US1NCCR0033","2015-10-17",,"0.00"
"US1NCCR0033","2015-10-28",,"1.10"
"US1NCCR0033","2015-10-29",,"0.16"
"US1NCCR0033","2015-11-03",,"0.72"
"US1NCCR0033","2015-11-04",,"0.69"
"US1NCCR0033","2015-11-05",,"0.03"
"US1NCCR0033","2015-11-06",,"0.00"
"US1NCCR0033","2015-11-08",,"0.41"
"US1NCCR0033","2015-11-09",,"0.18"
"US1NCCR0033","2015-11-10",,"1.19"
"US1NCCR0033","2015-11-11",,"0.18"
"US1NCCR0033","2015-11-19",,"0.06"
"US1NCCR0033","2015-11-20",,"7.09"
"US1NCCR0033","2015-11-22",,"0.28"
"US1NCCR0033","2015-11-23",,"0.49"
"US1NCCR0033","2015-12-01",,"0.01"
"US1NCCR0033","2015-12-02",,"0.10"
"US1NCCR0033","2015-12-03",,"0.07"
"US1NCCR0033","2015-12-08",,"1.52"
"US1NCCR0033","2015-12-10",,"0.03"
"US1NCCR0033","2015-12-15",,"0.11"
"US1NCCR0033","2015-12-17",,"0.15"
"US1NCCR0033","2015-12-18",,"0.20"
"US1NCCR0033","2015-12-19",,"0.08"
"US1NCCR0033","2015-12-23",,"1.05"
"US1NCCR0033","2015-12-24",,"0.02"
"US1NCCR0033","2015-12-29",,"0.40"
"US1NCCR0033","2015-12-31",,"0.13"
"US1NCCR0033","2016-01-01",,"0.92"
"US1NCCR0033","2016-01-09",,"0.16"
"US1NCCR0033","2016-01-10",,"0.25"
"US1NCCR0033","2016-01-16",,"1.36"
"US1NCCR0033","2016-01-23",,"3.00"
"US1NCCR0033","2016-01-29",,"0.29"
"US1NCCR0033","2016-02-04",,"2.45"
"US1NCCR0033","2016-02-05",,"3.00"
"US1NCCR0033","2016-02-07",,"0.35"
"US1NCCR0033","2016-02-08",,"0.90"
"US1NCCR0033","2016-02-13",,"0.19"
"US1NCCR0033","2016-02-16",,"0.37"
"US1NCCR0033","2016-02-17",,"0.56"
"US1NCCR0033","2016-03-02",,"0.14"
"US1NCCR0033","2016-03-04",,"0.85"
"US1NCCR0033","2016-03-05",,"0.01"
"US1NCCR0033","2016-03-06",,"0.00"
"US1NCCR0033","2016-03-15",,"0.04"
"US1NCCR0033","2016-03-21",,"0.29"
"US1NCCR0033","2016-03-26",,"0.32"
"US1NCCR0033","2016-03-28",,"1.15"
"US1NCCR0033","2016-04-01",,"0.04"
"US1NCCR0033","2016-04-02",,"1.06"
"US1NCCR0033","2016-04-03",,"0.16"
"US1NCCR0033","2016-04-07",,"0.18"
"US1NCCR0033","2016-04-08",,"0.50"
"US1NCCR0033","2016-04-13",,"0.56"
"US1NCCR0033","2016-04-23",,"0.40"
"US1NCCR0033","2016-04-28",,"0.04"
"US1NCCR0033","2016-04-29",,"0.02"
"US1NCCR0033","2016-05-03",,"0.00"
"US1NCCR0033","2016-05-04",,"1.80"
"US1NCCR0033","2016-05-06",,"0.76"
"US1NCCR0033","2016-05-14",,"0.21"
"US1NCCR0033","2016-05-21",,"1.12"
"US1NCCR0033","2016-05-22",,"0.07"
"US1NCCR0033","2016-05-29",,"0.25"
"US1NCCR0033","2016-05-30",,"0.74"
"US1NCCR0033","2016-05-31",,"0.06"
"US1NCCR0033","2016-06-01",,"0.35"
"US1NCCR0033","2016-06-07",,"3.45"
"US1NCCR0033","2016-06-08",,"0.52"
"US1NCCR0033","2016-06-15",,"0.15"
"US1NCCR0033","2016-06-16",,"0.83"
"US1NCCR0033","2016-06-18",,"0.07"
"US1NCCR0033","2016-06-25",,"0.12"
"US1NCCR0033","2016-07-01",,"0.02"
"US1NCCR0033","2016-07-02",,"1.18"
"US1NCCR0033","2016-07-04",,"0.27"
"US1NCCR0033","2016-07-06",,"0.17"
"US1NCCR0033","2016-07-08",,"0.87"
"US1NCCR0033","2016-07-09",,"0.89"
"US1NCCR0033","2016-07-13",,"0.24"
"US1NCCR0033","2016-07-16",,"0.16"
"US1NCCR0033","2016-07-17",,"0.44"
"US1NCCR0033","2016-07-20",,"0.25"
"US1NCCR0033","2016-07-21",,"0.50"
"US1NCCR0033","2016-07-28",,"0.53"
"US1NCCR0033","2016-07-31",,"0.15"
"US1NCCR0033","2016-08-01",,"1.40"
"US1NCCR0033","2016-08-02",,"0.11"
"US1NCCR0033","2016-08-03",,"1.25"
"US1NCCR0033","2016-08-04",,"0.28"
"US1NCCR0033","2016-08-06",,"0.03"
"US1NCCR0033","2016-08-07",,"0.05"
"US1NCCR0033","2016-08-09",,"0.09"
"US1NCCR0033","2016-08-19",,"0.78"
"US1NCCR0033","2016-08-20",,"0.94"
"US1NCCR0033","2016-08-29",,"0.13"
"US1NCCR0033","2016-09-01",,"0.03"
"US1NCCR0033","2016-09-02",,"0.34"
"US1NCCR0033","2016-09-03",,"6.32"
"US1NCCR0033","2016-09-08",,"0.55"
"US1NCCR0033","2016-09-12",,"0.10"
"US1NCCR0033","2016-09-13",,"2.68"
"US1NCCR0033","2016-09-16",,"0.18"
"US1NCCR0033","2016-09-18",,"0.08"
"US1NCCR0033","2016-09-19",,"0.02"
"US1NCCR0033","2016-09-20",,"2.37"
"US1NCCR0033","2016-09-21",,"0.02"
"US1NCCR0033","2016-09-23",,"1.25"
"US1NCCR0033","2016-09-24",,"1.92"
"US1NCCR0033","2016-09-28",,"0.21"
"US1NCCR0033","2016-09-30",,"0.37"
"US1NCCR0033","2016-10-01",,"1.95"
"US1NCCR0033","2016-10-02",,"0.49"
"US1NCCR0033","2016-10-07",,"0.47"
"US1NCCR0033","2016-10-08",,"0.36"
"US1NCCR0033","2016-10-09",,"2.26"
"US1NCCR0033","2016-10-22",,"0.11"
"US1NCCR0033","2016-11-05",,"0.31"
"US1NCCR0033","2016-11-14",,"0.76"
"US1NCCR0033","2016-11-15",,"0.03"
"US1NCCR0033","2016-11-26",,"0.21"
"US1NCCR0033","2016-11-30",,"0.16"
"US1NCCR0033","2016-12-01",,"0.36"
"US1NCCR0033","2016-12-05",,"1.53"
"US1NCCR0033","2016-12-06",,"0.48"
"US1NCCR0033","2016-12-07",,"0.42"
"US1NCCR0033","2016-12-12",,"0.03"
"US1NCCR0033","2016-12-13",,"0.87"
"US1NCCR0033","2016-12-14",,"0.40"
"US1NCCR0033","2016-12-15",,"0.05"
"US1NCCR0033","2016-12-17",,"0.58"
"US1NCCR0033","2016-12-18",,"0.01"
"US1NCCR0033","2016-12-20",,"0.11"
"US1NCCR0033","2016-12-30",,"0.63"
"US1NCCR0033","2017-01-02",,"0.12"
"US1NCCR0033","2017-01-03",,"1.30"
"US1NCCR0033","2017-01-04",,"0.07"
"US1NCCR0033","2017-01-06",,"0.02"
"US1NCCR0033","2017-01-07",,"0.75"
"US1NCCR0033","2017-01-08",,"0.05"
"US1NCCR0033","2017-01-11",,"0.04"
"US1NCCR0033","2017-01-19",,"0.07"
"US1NCCR0033","2017-01-22",,"0.02"
"US1NCCR0033","2017-01-23",,"1.02"
"US1NCCR0033","2017-01-24",,"0.52"
"US1NCCR0033","2017-02-08",,"1.00"
"US1NCCR0033","2017-02-09",,"0.12"
"US1NCCR0033","2017-02-10",,"0.02"
"US1NCCR0033","2017-02-16",,"0.67"
"US1NCCR0033","2017-02-28",,"0.05"
"US1NCCR0033","2017-03-02",,"0.16"
"US1NCCR0033","2017-03-11",,"0.03"
"US1NCCR0033","2017-03-13",,"0.30"
"US1NCCR0033","2017-03-14",,"1.90"
"US1NCCR0033","2017-03-15",,"0.02"
"US1NCCR0033","2017-03-19",,"0.56"
"US1NCCR0033","2017-03-22",,"0.19"
"US1NCCR0033","2017-03-29",,"0.30"
"US1NCCR0033","2017-04-01",,"0.67"
"US1NCCR0033","2017-04-04",,"0.47"
"US1NCCR0033","2017-04-06",,"1.67"
"US1NCCR0033","2017-04-15",,"0.84"
"US1NCCR0033","2017-04-18",,"0.08"
"US1NCCR0033","2017-04-21",,"0.04"
"US1NCCR0033","2017-04-23",,"0.02"
"US1NCCR0033","2017-04-24",,"0.11"
"US1NCCR0033","2017-04-25",,"1.76"
"US1NCCR0033","2017-05-02",,"0.04"
"US1NCCR0033","2017-05-05",,"0.02"
"US1NCCR0033","2017-05-06",,"1.39"
"US1NCCR0033","2017-05-07",,"0.17"
"US1NCCR0033","2017-05-10",,"0.15"
"US1NCCR0033","2017-05-23",,"0.05"
"US1NCCR0033","2017-05-24",,"0.66"
"US1NCCR0033","2017-05-25",,"0.31"
"US1NCCR0033","2017-05-30",,"0.70"
"US1NCCR0033","2017-05-31",,"0.49"
"US1NCCR0033","2017-06-01",,"0.11"
"US1NCCR0033","2017-06-06",,"0.06"
"US1NCCR0033","2017-06-07",,"0.05"
"US1NCCR0033","2017-06-08",,"0.66"
